pose	angles	laser_status	suction_cup_status	gripper_status 
[300.22, 55.04, 64.95, 0.00]	[10.39, 9.64, 17.93, -10.39]	FALSE	FALSE	FALSE
[300.23, 55.05, 64.08, 0.00]	[10.39, 9.77, 18.21, -10.39]	FALSE	FALSE	FALSE
[300.25, 55.07, 63.22, 0.00]	[10.39, 9.89, 18.50, -10.39]	FALSE	FALSE	FALSE
[300.26, 55.08, 62.35, 0.00]	[10.39, 10.02, 18.78, -10.39]	FALSE	FALSE	FALSE
[300.28, 55.10, 61.48, 0.00]	[10.39, 10.15, 19.06, -10.39]	FALSE	FALSE	FALSE
[300.29, 55.11, 60.62, 0.00]	[10.39, 10.27, 19.35, -10.39]	FALSE	FALSE	FALSE
[300.31, 55.12, 59.75, 0.00]	[10.39, 10.40, 19.63, -10.39]	FALSE	FALSE	FALSE
[300.32, 55.14, 58.88, 0.00]	[10.39, 10.53, 19.91, -10.39]	FALSE	FALSE	FALSE
[300.34, 55.15, 58.02, 0.00]	[10.39, 10.65, 20.20, -10.39]	FALSE	FALSE	FALSE
[300.35, 55.17, 57.15, 0.00]	[10.39, 10.78, 20.48, -10.39]	FALSE	FALSE	FALSE
[300.36, 55.18, 56.28, 0.00]	[10.39, 10.90, 20.76, -10.39]	FALSE	FALSE	FALSE
[300.38, 55.19, 55.42, 0.00]	[10.39, 11.03, 21.04, -10.39]	FALSE	FALSE	FALSE
[300.39, 55.21, 54.55, 0.00]	[10.39, 11.16, 21.33, -10.39]	FALSE	FALSE	FALSE
[300.41, 55.22, 53.68, 0.00]	[10.39, 11.28, 21.61, -10.39]	FALSE	FALSE	FALSE
[300.42, 55.24, 52.82, 0.00]	[10.39, 11.41, 21.89, -10.39]	FALSE	FALSE	FALSE
[300.44, 55.25, 51.95, 0.00]	[10.39, 11.54, 22.18, -10.39]	FALSE	FALSE	FALSE
[300.45, 55.26, 51.08, 0.00]	[10.39, 11.66, 22.46, -10.39]	FALSE	FALSE	FALSE
[300.46, 55.28, 50.22, 0.00]	[10.39, 11.79, 22.74, -10.39]	FALSE	FALSE	FALSE
[300.48, 55.29, 49.35, 0.00]	[10.39, 11.92, 23.03, -10.39]	FALSE	FALSE	FALSE
[300.49, 55.31, 48.48, 0.00]	[10.39, 12.04, 23.31, -10.39]	FALSE	FALSE	FALSE
