pose	angles	laser_status	suction_cup_status	gripper_status
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.7]	FALSE	FALSE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	FALSE	FALSE
[300.00, -67.62, 64.65, -49.00]	[-12.70, 10.55, 17.85, 12.70]	FALSE	FALSE	FALSE
[300.00, -67.62, 62.64, -48.00]	[-12.70, 10.93, 18.50, 12.70]	FALSE	FALSE	FALSE
[300.01, -67.63, 60.64, -47.00]	[-12.70, 11.30, 19.14, 12.70]	FALSE	FALSE	FALSE
[300.01, -67.63, 58.64, -46.00]	[-12.70, 11.68, 19.79, 12.70]	FALSE	FALSE	FALSE
[300.01, -67.63, 56.64, -45.00]	[-12.70, 12.05, 20.43, 12.70]	FALSE	FALSE	FALSE
[300.01, -67.63, 54.63, -44.00]	[-12.70, 12.43, 21.08, 12.70]	FALSE	FALSE	FALSE
[300.01, -67.64, 52.63, -43.00]	[-12.70, 12.80, 21.72, 12.70]	FALSE	FALSE	FALSE
[300.02, -67.64, 50.63, -42.00]	[-12.70, 13.18, 22.37, 12.70]	FALSE	FALSE	FALSE
[300.02, -67.64, 48.62, -41.00]	[-12.70, 13.55, 23.01, 12.70]	FALSE	FALSE	FALSE
[300.02, -67.64, 46.62, -40.00]	[-12.70, 13.93, 23.66, 12.70]	FALSE	FALSE	FALSE
[300.02, -67.65, 44.62, -39.00]	[-12.70, 14.30, 24.30, 12.70]	FALSE	FALSE	FALSE
[300.02, -67.65, 42.62, -38.00]	[-12.70, 14.68, 24.95, 12.70]	FALSE	FALSE	FALSE
[300.03, -67.65, 40.61, -37.00]	[-12.71, 15.05, 25.59, 12.71]	FALSE	FALSE	FALSE
[300.03, -67.65, 38.61, -36.00]	[-12.71, 15.42, 26.23, 12.71]	FALSE	FALSE	FALSE
[300.03, -67.66, 36.61, -35.00]	[-12.71, 15.80, 26.88, 12.71]	FALSE	FALSE	FALSE
[300.03, -67.66, 34.61, -34.00]	[-12.71, 16.17, 27.52, 12.71]	FALSE	FALSE	FALSE
[300.03, -67.66, 32.60, -33.00]	[-12.71, 16.55, 28.17, 12.71]	FALSE	FALSE	FALSE
[300.04, -67.66, 30.60, -32.00]	[-12.71, 16.92, 28.81, 12.71]	FALSE	FALSE	FALSE
[300.04, -67.67, 28.60, -31.00]	[-12.71, 17.30, 29.46, 12.71]	FALSE	FALSE	FALSE
[300.04, -67.67, 26.59, -30.00]	[-12.71, 17.67, 30.10, 12.71]	FALSE	FALSE	FALSE
[300.04, -67.67, 24.59, -29.00]	[-12.71, 18.05, 30.75, 12.71]	FALSE	FALSE	FALSE
[300.04, -67.67, 22.59, -28.00]	[-12.71, 18.42, 31.39, 12.71]	FALSE	FALSE	FALSE
[300.05, -67.68, 20.59, -27.00]	[-12.71, 18.80, 32.04, 12.71]	FALSE	FALSE	FALSE
[300.05, -67.68, 18.58, -26.00]	[-12.71, 19.17, 32.68, 12.71]	FALSE	FALSE	FALSE
[300.05, -67.68, 16.58, -25.00]	[-12.71, 19.55, 33.33, 12.71]	FALSE	FALSE	FALSE
[300.05, -67.68, 14.58, -24.00]	[-12.71, 19.92, 33.97, 12.71]	FALSE	FALSE	FALSE
[300.05, -67.68, 12.57, -23.00]	[-12.71, 20.29, 34.61, 12.71]	FALSE	FALSE	FALSE
[300.06, -67.69, 10.57, -22.00]	[-12.71, 20.67, 35.26, 12.71]	FALSE	FALSE	FALSE
[300.06, -67.69, 8.57, -21.00]	[-12.71, 21.04, 35.90, 12.71]	FALSE	FALSE	FALSE
[300.06, -67.69, 6.57, -20.00]	[-12.71, 21.42, 36.55, 12.71]	FALSE	FALSE	FALSE
[300.06, -67.69, 4.56, -19.00]	[-12.71, 21.79, 37.19, 12.71]	FALSE	FALSE	FALSE
[300.06, -67.70, 2.56, -18.00]	[-12.71, 22.17, 37.84, 12.71]	FALSE	FALSE	FALSE
[300.07, -67.70, 0.56, -17.00]	[-12.71, 22.54, 38.48, 12.71]	FALSE	FALSE	FALSE
[300.07, -67.70, -1.45, -16.00]	[-12.71, 22.92, 39.13, 12.71]	FALSE	FALSE	FALSE
[300.07, -67.70, -3.45, -15.00]	[-12.71, 23.29, 39.77, 12.71]	FALSE	FALSE	FALSE
[300.07, -67.71, -5.45, -14.00]	[-12.71, 23.67, 40.42, 12.71]	FALSE	FALSE	FALSE
[300.07, -67.71, -7.45, -13.00]	[-12.71, 24.04, 41.06, 12.71]	FALSE	FALSE	FALSE
[300.08, -67.71, -9.46, -12.00]	[-12.72, 24.41, 41.70, 12.72]	FALSE	FALSE	FALSE
[300.08, -67.71, -11.46, -11.00]	[-12.72, 24.79, 42.35, 12.72]	FALSE	FALSE	FALSE
[300.08, -67.72, -13.46, -10.00]	[-12.72, 25.16, 42.99, 12.72]	FALSE	FALSE	FALSE
[300.08, -67.72, -15.46, -9.00]	[-12.72, 25.54, 43.64, 12.72]	FALSE	FALSE	FALSE
[300.08, -67.72, -17.47, -8.00]	[-12.72, 25.91, 44.28, 12.72]	FALSE	FALSE	FALSE
[300.09, -67.72, -19.47, -7.00]	[-12.72, 26.29, 44.93, 12.72]	FALSE	FALSE	FALSE
[300.09, -67.73, -21.47, -6.00]	[-12.72, 26.66, 45.57, 12.72]	FALSE	FALSE	FALSE
[300.09, -67.73, -23.48, -5.00]	[-12.72, 27.04, 46.22, 12.72]	FALSE	FALSE	FALSE
[300.09, -67.73, -25.48, -4.00]	[-12.72, 27.41, 46.86, 12.72]	FALSE	FALSE	FALSE
[300.09, -67.73, -27.48, -3.00]	[-12.72, 27.79, 47.51, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -29.48, -2.00]	[-12.72, 28.16, 48.15, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -31.49, -1.00]	[-12.72, 28.54, 48.80, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	FALSE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	TRUE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	TRUE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	TRUE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	TRUE	FALSE
[300.10, -67.74, -33.49, 0.00]	[-12.72, 28.91, 49.44, 12.72]	FALSE	TRUE	FALSE
[300.10, -67.74, -31.49, -49.00]	[-12.72, 28.54, 48.80, 12.72]	FALSE	TRUE	FALSE
[300.10, -67.74, -29.48, -48.00]	[-12.72, 28.16, 48.15, 12.72]	FALSE	TRUE	FALSE
[300.09, -67.73, -27.48, -47.00]	[-12.72, 27.79, 47.51, 12.72]	FALSE	TRUE	FALSE
[300.09, -67.73, -25.48, -46.00]	[-12.72, 27.41, 46.86, 12.72]	FALSE	TRUE	FALSE
[300.09, -67.73, -23.48, -45.00]	[-12.72, 27.04, 46.22, 12.72]	FALSE	TRUE	FALSE
[300.09, -67.73, -21.47, -44.00]	[-12.72, 26.66, 45.57, 12.72]	FALSE	TRUE	FALSE
[300.09, -67.72, -19.47, -43.00]	[-12.72, 26.29, 44.93, 12.72]	FALSE	TRUE	FALSE
[300.08, -67.72, -17.47, -42.00]	[-12.72, 25.91, 44.28, 12.72]	FALSE	TRUE	FALSE
[300.08, -67.72, -15.46, -41.00]	[-12.72, 25.54, 43.64, 12.72]	FALSE	TRUE	FALSE
[300.08, -67.72, -13.46, -40.00]	[-12.72, 25.16, 42.99, 12.72]	FALSE	TRUE	FALSE
[300.08, -67.71, -11.46, -39.00]	[-12.72, 24.79, 42.35, 12.72]	FALSE	TRUE	FALSE
[300.08, -67.71, -9.46, -38.00]	[-12.72, 24.41, 41.70, 12.72]	FALSE	TRUE	FALSE
[300.07, -67.71, -7.45, -37.00]	[-12.71, 24.04, 41.06, 12.71]	FALSE	TRUE	FALSE
[300.07, -67.71, -5.45, -36.00]	[-12.71, 23.67, 40.42, 12.71]	FALSE	TRUE	FALSE
[300.07, -67.70, -3.45, -35.00]	[-12.71, 23.29, 39.77, 12.71]	FALSE	TRUE	FALSE
[300.07, -67.70, -1.45, -34.00]	[-12.71, 22.92, 39.13, 12.71]	FALSE	TRUE	FALSE
[300.07, -67.70, 0.56, -33.00]	[-12.71, 22.54, 38.48, 12.71]	FALSE	TRUE	FALSE
[300.06, -67.70, 2.56, -32.00]	[-12.71, 22.17, 37.84, 12.71]	FALSE	TRUE	FALSE
[300.06, -67.69, 4.56, -31.00]	[-12.71, 21.79, 37.19, 12.71]	FALSE	TRUE	FALSE
[300.06, -67.69, 6.57, -30.00]	[-12.71, 21.42, 36.55, 12.71]	FALSE	TRUE	FALSE
[300.06, -67.69, 8.57, -29.00]	[-12.71, 21.04, 35.90, 12.71]	FALSE	TRUE	FALSE
[300.06, -67.69, 10.57, -28.00]	[-12.71, 20.67, 35.26, 12.71]	FALSE	TRUE	FALSE
[300.05, -67.68, 12.57, -27.00]	[-12.71, 20.29, 34.61, 12.71]	FALSE	TRUE	FALSE
[300.05, -67.68, 14.58, -26.00]	[-12.71, 19.92, 33.97, 12.71]	FALSE	TRUE	FALSE
[300.05, -67.68, 16.58, -25.00]	[-12.71, 19.55, 33.33, 12.71]	FALSE	TRUE	FALSE
[300.05, -67.68, 18.58, -24.00]	[-12.71, 19.17, 32.68, 12.71]	FALSE	TRUE	FALSE
[300.05, -67.68, 20.59, -23.00]	[-12.71, 18.80, 32.04, 12.71]	FALSE	TRUE	FALSE
[300.04, -67.67, 22.59, -22.00]	[-12.71, 18.42, 31.39, 12.71]	FALSE	TRUE	FALSE
[300.04, -67.67, 24.59, -21.00]	[-12.71, 18.05, 30.75, 12.71]	FALSE	TRUE	FALSE
[300.04, -67.67, 26.59, -20.00]	[-12.71, 17.67, 30.10, 12.71]	FALSE	TRUE	FALSE
[300.04, -67.67, 28.60, -19.00]	[-12.71, 17.30, 29.46, 12.71]	FALSE	TRUE	FALSE
[300.04, -67.66, 30.60, -18.00]	[-12.71, 16.92, 28.81, 12.71]	FALSE	TRUE	FALSE
[300.03, -67.66, 32.60, -17.00]	[-12.71, 16.55, 28.17, 12.71]	FALSE	TRUE	FALSE
[300.03, -67.66, 34.61, -16.00]	[-12.71, 16.17, 27.52, 12.71]	FALSE	TRUE	FALSE
[300.03, -67.66, 36.61, -15.00]	[-12.71, 15.80, 26.88, 12.71]	FALSE	TRUE	FALSE
[300.03, -67.65, 38.61, -14.00]	[-12.71, 15.42, 26.23, 12.71]	FALSE	TRUE	FALSE
[300.03, -67.65, 40.61, -13.00]	[-12.71, 15.05, 25.59, 12.71]	FALSE	TRUE	FALSE
[300.02, -67.65, 42.62, -12.00]	[-12.70, 14.68, 24.95, 12.70]	FALSE	TRUE	FALSE
[300.02, -67.65, 44.62, -11.00]	[-12.70, 14.30, 24.30, 12.70]	FALSE	TRUE	FALSE
[300.02, -67.64, 46.62, -10.00]	[-12.70, 13.93, 23.66, 12.70]	FALSE	TRUE	FALSE
[300.02, -67.64, 48.62, -9.00]	[-12.70, 13.55, 23.01, 12.70]	FALSE	TRUE	FALSE
[300.02, -67.64, 50.63, -8.00]	[-12.70, 13.18, 22.37, 12.70]	FALSE	TRUE	FALSE
[300.01, -67.64, 52.63, -7.00]	[-12.70, 12.80, 21.72, 12.70]	FALSE	TRUE	FALSE
[300.01, -67.63, 54.63, -6.00]	[-12.70, 12.43, 21.08, 12.70]	FALSE	TRUE	FALSE
[300.01, -67.63, 56.64, -5.00]	[-12.70, 12.05, 20.43, 12.70]	FALSE	TRUE	FALSE
[300.01, -67.63, 58.64, -4.00]	[-12.70, 11.68, 19.79, 12.70]	FALSE	TRUE	FALSE
[300.01, -67.63, 60.64, -3.00]	[-12.70, 11.30, 19.14, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 62.64, -2.00]	[-12.70, 10.93, 18.50, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 64.65, -1.00]	[-12.70, 10.55, 17.85, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -67.62, 66.65, 0.00]	[-12.70, 10.18, 17.21, 12.70]	FALSE	TRUE	FALSE
[300.00, -65.17, 66.65, 0.00]	[-12.24, 10.16, 17.21, 12.24]	FALSE	TRUE	FALSE
[300.00, -62.72, 66.65, 0.00]	[-11.78, 10.15, 17.22, 11.78]	FALSE	TRUE	FALSE
[300.00, -60.26, 66.65, 0.00]	[-11.31, 10.13, 17.22, 11.31]	FALSE	TRUE	FALSE
[300.00, -57.81, 66.65, 0.00]	[-10.85, 10.12, 17.22, 10.85]	FALSE	TRUE	FALSE
[300.00, -55.36, 66.65, 0.00]	[-10.39, 10.10, 17.22, 10.39]	FALSE	TRUE	FALSE
[300.00, -52.91, 66.65, 0.00]	[-9.93, 10.08, 17.23, 9.93]	FALSE	TRUE	FALSE
[300.00, -50.45, 66.65, 0.00]	[-9.47, 10.07, 17.23, 9.47]	FALSE	TRUE	FALSE
[300.00, -48.00, 66.65, 0.00]	[-9.01, 10.05, 17.23, 9.01]	FALSE	TRUE	FALSE
[300.00, -45.55, 66.66, 0.00]	[-8.54, 10.04, 17.24, 8.54]	FALSE	TRUE	FALSE
[300.00, -43.10, 66.66, 0.00]	[-8.08, 10.02, 17.24, 8.08]	FALSE	TRUE	FALSE
[300.00, -40.64, 66.66, 0.00]	[-7.62, 10.00, 17.24, 7.62]	FALSE	TRUE	FALSE
[300.00, -38.19, 66.66, 0.00]	[-7.16, 9.99, 17.24, 7.16]	FALSE	TRUE	FALSE
[300.00, -35.74, 66.66, 0.00]	[-6.70, 9.97, 17.25, 6.70]	FALSE	TRUE	FALSE
[300.00, -33.29, 66.66, 0.00]	[-6.23, 9.96, 17.25, 6.23]	FALSE	TRUE	FALSE
